procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 3720928    200  29652    0    0  8164  2324 1367 1848  1  3 95  1
 0  0      0 3720920    200  29684    0    0  7940  2316 1251 1753  1  3 95  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3716516   1420  32892    0    0   370  9763  130  137  1  3 94  3
 0  0      0 3720904    172  29540    0    0  9080  2772 1837 1766  2  3 94  2
 0  0      0 3720764    188  29744    0    0  7756  2252 1271 1747  1  4 95  1
 1  0      0 3719704    176  30512    0    0  8508  2272 1352 2004  1  2 96  1
 0  0      0 3720928    188  29540    0    0  8112  2720 1350 1772  1  3 95  1
 0  0      0 3720788    200  29820    0    0  7640  2316 1192 1464  1  3 94  2
 0  0      0 3720920    192  29640    0    0  7524  2288 1303 1933  1  3 95  2
 0  0      0 3720780    196  29760    0    0  7840  2288 1288 1848  2  3 95  1
 0  0      0 3720920    184  29648    0    0  7524  2272 1295 1968  1  3 95  1
 0  0      0 3720664    196  29808    0    0  7644  2296 1180 1644  1  3 95  1
 0  0      0 3720920    188  29556    0    0  7532  2276 1190 1685  1  3 95  1
 0  0      0 3720648    200  29784    0    0  7648  2296 1187 1638  1  3 95  2
 0  0      0 3720780    264  29544    0    0  7596  2272 1256 1815  0  3 95  1
 0  0      0 3720920    184  29544    0    0  9164  2724 1516 1934  2  3 95  1
 0  0      0 3720640    196  29808    0    0  7656  2320 1207 1690  1  3 94  2
 0  0      0 3720904    188  29648    0    0  7532  2292 1229 1780  0  3 95  1
 1  1      0 3719912    200  30532    0    0  8424  2288 1245 1723  1  3 95  1
 0  0      0 3720640    196  29780    0    0  8312  2712 1351 1775  1  3 94  1
 1  0      0 3719556    356  30608    0    0  9420  1860 1678 1467  1  3 96  0
 0  0      0 3720788    196  29692    0    0  8212  2704 1401 1970  1  3 95  1
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 3716460   1584  32880    0    0   396  9988  134  142  1  3 94  3
 0  0      0 3721088    168  29560    0    0  9000  2764 1884 1699  1  3 94  2
 1  0      0 3720244    176  30464    0    0  8492  2244 1371 1781  1  4 95  1
 0  0      0 3721144    192  29744    0    0  8188  2668 1474 2288  1  4 94  1
 1  0      0 3719896    188  30700    0    0  8604  2244 1325 1864  1  4 94  1
 0  0      0 3721268    184  29580    0    0  7852  2700 1516 2414  0  4 94  1
 0  0      0 3721384    192  29560    0    0  9080  2704 1605 2546  1  3 94  1
 0  0      0 3721260    184  29572    0    0  7468  2280 1328 1365  1  5 93  0
 0  0      0 3721152    192  29724    0    0  9424  2700 1623 1568  1  4 93  2
 0  0      0 3721384    180  29588    0    0  7640  2264 1295 1392  1  2 97  0
 1  0      0 3719796    180  30588    0    0  8592  2288 1362 1495  1  3 96  1
 0  0      0 3721020    180  29580    0    0  6348  2256 1219 1461  0  4 94  2
 1  0      0 3720416    184  30464    0    0  6920  1824 1116 1295  0  3 95  1
