procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1      0 2558260 129256 948704    0    0     4  1620  920 1428  2  3 90  4
 0  0      0 2557880 129260 948712    0    0     0  1768  970 1448  4  3 92  0
 0  0      0 2557716 129268 948668    0    0     0  1512  905 1311  3  5 91  0
 1  0      0 2564916 129276 941452    0    0     0  1764  977 1412  3  7 90  0
 0  0      0 2557492 129280 948748    0    0     0  1512  878 1318  4  3 93  0
 1  1      0 2558212 129296 948496    0    0     0  1616  881 1225  3  5 87  5
 0  0      0 2557996 129300 948460    0    0     0  1512  876 1270  4  4 92  0
 0  0      0 2557608 129308 948808    0    0     0  1764  969 1363  3  4 93  0
 0  0      0 2557748 129316 948868    0    0     0  1584  914 1325  3  6 90  0
 0  0      0 2557552 129324 948688    0    0     0  1764  941 1270  4  4 92  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 2568192 129184 937372    0    0  1032 15886  161  309  2  4 89  5
 0  1      0 2556992 129204 948636    0    0    16  1636  862 1308  2  5 90  3
 0  0      0 2557040 129204 948896    0    0     0  1516  935 1424  1  5 92  2
 1  0      0 2562752 129204 943656    0    0     8  1764  963 1332  2  6 92  0
 0  0      0 2557428 129204 948680    0    0     8  1512  899 1323  3  4 93  0
 0  0      0 2557232 129204 948864    0    0     4  1764  949 1318  4  6 90  0
 0  1      0 2557304 129216 948896    0    0     4  1316  789 1181  2  4 90  3
 0  0      0 2557436 129216 948728    0    0     8  1768  988 1386  2  5 91  2
 1  0      0 2557172 129216 948688    0    0     8  1764  956 1331  2  5 93  0
 0  0      0 2557008 129216 948648    0    0     0  1512  895 1331  4  6 90  0
 0  0      0 2557312 129216 948592    0    0     8  1764  954 1304  2  4 93  0
 0  1      0 2557148 129224 948780    0    0     4  1320  809 1267  3  4 90  2
 1  0      0 2557436 129224 948736    0    0     4  1768 1026 1471  4  5 89  2
 0  0      0 2557452 129224 948676    0    0     8  1764  953 1289  2  4 93  0
 0  0      0 2557428 129224 948536    0    0     8  1536  910 1359  3  5 92  0
 0  0      0 2557544 129224 948624    0    0     4  1764  940 1257  2  5 93  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2568344 129184 937384    0    0   954 16517  168  308  2  4 89  5
 1  1      0 2559272 129224 947008    0    0     8  5136 1113 1380  3  6 87  5
 1  0      0 2565680 129248 940408    0    0     0  6000 1388 1266  3  6 91  0
 2  0      0 2567672 129272 938188    0    0     0  6000 1296 1323  4  6 90  0
 1  0      0 2567184 129300 939292    0    0     0  6000 1309 1347  2  7 91  0
 1  0      0 2567580 129324 938192    0    0     0  6000 1366 1301  4  5 90  0
 1  1      0 2567604 129356 938208    0    0     4  5204 1272 1169  3  5 88  4
 1  0      0 2567432 129384 938208    0    0     0  6000 1330 1395  2  6 91  0
 1  0      0 2567572 129408 938212    0    0     0  6000 1359 1324  3  6 91  0
 2  0      0 2567664 129432 938216    0    0     0  6000 1296 1359  2  7 90  0
 1  0      0 2559960 129460 944596    0    0     0  6000 1291 1305  3  7 91  0
 1  1      0 2567192 129488 938196    0    0     0  5192 1281 1301  2  6 88  4
 1  0      0 2567548 129512 938200    0    0     0  6000 1400 1317  4  6 89  1
